Tiempo_s,TorqueSolicitado_Nm,TorqueMotor_Nm,VelocidadMotor_rpm,VelocidadAngular_rad_s,PotenciaMecanica_kW,PotenciaElectrica_kW,CorrienteDC_A,Eficiencia_pct,PotenciaRegenerativa_kW,Perdidas_kW
32.3,304.15,198.118186421446,7230,757.12382951514,150,163.04347826087,457.987298485589,92,0,13.0434782608696
32.4,300.2,197.844542517549,7240,758.171027066337,150,163.04347826087,457.987298485589,92,0,13.0434782608696
32.5,296.25,197.571653493387,7250,759.218224617533,150,163.04347826087,457.987298485589,92,0,13.0434782608696
32.6,292.3,197.299516229622,7260,760.26542216873,150,163.04347826087,457.987298485589,92,0,13.0434782608696
32.7,288.35,197.02812762408,7270,761.312619719927,150,163.04347826087,457.987298485589,92,0,13.0434782608696
32.8,284.4,196.757484591629,7280,762.359817271123,150,163.04347826087,457.987298485589,92,0,13.0434782608696
32.9,280.45,196.487584064068,7290,763.40701482232,150,163.04347826087,457.987298485589,92,0,13.0434782608696
33,276.5,196.218422990008,7300,764.454212373516,150,163.04347826087,457.987298485589,92,0,13.0434782608696
33.1,272.55,195.949998334755,7310,765.501409924713,150,163.04347826087,457.987298485589,92,0,13.0434782608696
33.2,268.6,195.682307080199,7320,766.54860747591,150,163.04347826087,457.987298485589,92,0,13.0434782608696
33.3,264.65,195.415346224701,7330,767.595805027106,150,163.04347826087,457.987298485589,92,0,13.0434782608696
33.4,260.7,195.149112782978,7340,768.643002578303,150,163.04347826087,457.987298485589,92,0,13.0434782608696
33.5,256.75,194.883603785994,7350,769.690200129499,150,163.04347826087,457.987298485589,92,0,13.0434782608696
33.6,252.8,194.61881628085,7360,770.737397680696,150,163.04347826087,457.987298485589,92,0,13.0434782608696
33.7,248.85,194.354747330673,7370,771.784595231893,150,163.04347826087,457.987298485589,92,0,13.0434782608696
33.8,244.9,194.091394014507,7380,772.831792783089,150,163.04347826087,457.987298485589,92,0,13.0434782608696
33.9,240.95,193.828753427207,7390,773.878990334286,150,163.04347826087,457.987298485589,92,0,13.0434782608696
34,237,193.566822679332,7400,774.926187885482,150,163.04347826087,457.987298485589,92,0,13.0434782608696
34.1,233.05,193.305598897039,7410,775.973385436679,150,163.04347826087,457.987298485589,92,0,13.0434782608696
34.2,229.1,193.045079221975,7420,777.020582987876,150,163.04347826087,457.987298485589,92,0,13.0434782608696
34.3,225.15,192.785260811179,7430,778.067780539072,150,163.04347826087,457.987298485589,92,0,13.0434782608696
34.4,221.2,192.52614083697,7440,779.114978090269,150,163.04347826087,457.987298485589,92,0,13.0434782608696
34.5,217.25,192.267716486853,7450,780.162175641465,150,163.04347826087,457.987298485589,92,0,13.0434782608696
34.6,213.3,192.009984963413,7460,781.209373192662,150,163.04347826087,457.987298485589,92,0,13.0434782608696
34.7,209.35,191.752943484211,7470,782.256570743859,150,163.04347826087,457.987298485589,92,0,13.0434782608696
34.8,205.4,191.496589281692,7480,783.303768295055,150,163.04347826087,457.987298485589,92,0,13.0434782608696
34.9,201.45,191.240919603079,7490,784.350965846252,150,163.04347826087,457.987298485589,92,0,13.0434782608696
35,197.5,190.985931710274,7500,785.398163397448,150,163.04347826087,457.987298485589,92,0,13.0434782608696
35.1,193.55,190.731622879768,7510,786.445360948645,150,163.04347826087,457.987298485589,92,0,13.0434782608696
35.2,189.6,189.6,7520,787.492558499841,149.30858909157,162.29194466475,455.876249058286,92,0,12.98335557318
35.3,185.65,185.65,7530,788.539756051038,146.392405710875,159.122180120517,446.972416068867,92,0,12.7297744096413
35.4,181.7,181.7,7540,789.586953602235,143.467949469526,155.943423336441,438.043323978768,92,0,12.4754738669153
